feature,mean_abs_shap
race_pressure,0.41897089304655155
Altitude,0.18878874066764786
race_x_cult,0.1313231137205966
race_PstS6_age,0.13041606484809545
Latitude,0.12182590367778161
Alt_x_Time,0.11821060465910711
Lat_x_Lon,0.11602607666066107
Lon_x_Alt,0.1112688482016646
Lat_sq,0.10522659173570365
lag_100km_1m_prev,0.09465478110825311
lag_50km_1m_prev,0.09036378624081003
lag_100km_1m_count,0.08277603810723115
lag_50km_2m_prev,0.07643175562669664
Lon_sq,0.07344510044755823
Longitude,0.06842201767634476
race_dual_active,0.06590914583934084
DayOfYear,0.05894945694058988
race_PstS11_peak,0.05893646699690008
DaysIntoMainSeason,0.0574275171046932
race_PstS6_peak,0.0572196508409559
BiweekIntoMainSeason,0.056506172843152534
GrowthStage,0.05579823511990895
race_PstS11_active,0.05368015394801048
Lat_x_Alt,0.04658905198241998
lag_25km_1m_prev,0.045478222193239645
lag_50km_2m_count,0.04189332981437874
lag_50km_1m_count,0.0393552451917079
lag_25km_1m_count,0.03643720961157629
cult_high_risk,0.03540802403106421
race_x_cult_PstS6,0.03342219964924719
AltitudeBand,0.032509103403382436
Area_log,0.03131639834053749
Month_sin,0.02503516701476504
cult_med_risk,0.022457288502286062
Area_missing,0.022047421983235303
race_PstS11_age,0.0200329327632399
race_x_cult_PstS11,0.018499181605124447
cult_low_risk,0.016439095711298465
Month_cos,0.006125063806328438
GrowthStage_missing,0.0003274916074169156
race_PstS6_active,0.0
cult_local,0.0
IsMeherSeason,0.0
Altitude_missing,0.0
