Rust,Model,Mean_AUC,AUC_2010,AUC_2011,AUC_2012,AUC_2013,AUC_2014,AUC_2015,AUC_2016,AUC_2017,AUC_2018,AUC_2019
StemRust,Paper (baseline),0.7717,0.8182,0.7366,0.7297,0.8326,0.8166,0.7563,0.7551,0.6216,0.8537,0.7963
StemRust,v3: GB (prev best),0.8228,0.8405,0.8006,0.7588,0.8754,0.902,0.7844,0.7866,0.7584,0.8715,0.8499
StemRust,v5.1: XGB tuned,0.8325,0.8726,0.8169,0.7879,0.8889,0.887,0.8026,0.7782,0.7508,0.8764,0.8633
StemRust,v6: Best-of-breed,0.8325,0.8726,0.8169,0.7879,0.8889,0.887,0.8026,0.7782,0.7508,0.8764,0.8633
StemRust,v6: TabNet,0.7672,0.7426,0.8419,0.7504,0.8688,0.8304,0.7269,0.7428,0.6748,0.7542,0.7397
StripeRust,Paper (baseline),0.5977,0.6012,0.593,0.3883,0.5913,0.6383,0.6322,0.7406,0.6306,0.5936,0.5682
StripeRust,v3: GB (prev best),0.7188,0.7007,0.685,0.8392,0.778,0.693,0.6092,0.707,0.7694,0.7461,0.6604
StripeRust,v5.1: XGB tuned,0.7001,0.6679,0.675,0.7843,0.7714,0.6765,0.6487,0.6621,0.7364,0.7243,0.6547
StripeRust,v6: Best-of-breed,0.7188,0.7007,0.685,0.8392,0.778,0.693,0.6092,0.707,0.7694,0.7461,0.6604
StripeRust,v6: TabNet,0.6493,0.5665,0.6575,0.7543,0.6799,0.6554,0.544,0.6903,0.7051,0.6304,0.61
LeafRust,Paper (baseline),0.6376,0.6037,0.6057,0.5657,0.5841,0.7276,0.558,0.6509,0.7079,0.7411,0.6315
LeafRust,v3: GB (prev best),0.7984,0.8543,0.7891,0.7826,0.8134,0.8618,0.6826,0.7628,0.7944,0.8741,0.7687
LeafRust,v5.1: XGB tuned,0.7876,0.8353,0.7918,0.7846,0.815,0.8569,0.6435,0.7474,0.7545,0.8779,0.7691
LeafRust,v6: Best-of-breed,0.7984,0.8543,0.7891,0.7826,0.8134,0.8618,0.6826,0.7628,0.7944,0.8741,0.7687
LeafRust,v6: TabNet,0.7179,0.789,0.7002,0.7785,0.6056,0.7359,0.6166,0.7453,0.7349,0.7105,0.7622
